Domain Code|Domain|Area Code|Area|Element Code|Element|Item Code|Item|Year Code|Year|Unit|Value|Flag|Flag Description
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|2013|2013|Head|7000|*|Unofficial figure
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|2014|2014|Head|6900|*|Unofficial figure
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|2015|2015|Head|7700|*|Unofficial figure
QA|Live Animals|104|Ireland|5111|Stocks|1107|Asses|2016|2016|Head|8000|*|Unofficial figure
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1961|1961|Head|4291200||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1962|1962|Head|4179200||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1963|1963|Head|4300600||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1964|1964|Head|4368800||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1965|1965|Head|4524200||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1966|1966|Head|4945700||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1967|1967|Head|5149900||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1968|1968|Head|5030300||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1969|1969|Head|5086300||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1970|1970|Head|5229000||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1971|1971|Head|5405000||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1972|1972|Head|5516000||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1973|1973|Head|5945700||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1974|1974|Head|6408000||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1975|1975|Head|6499600||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1976|1976|Head|6213700||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1977|1977|Head|6210000||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1978|1978|Head|6245500||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1979|1979|Head|6132100||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1980|1980|Head|6170900||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1981|1981|Head|5825500||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1982|1982|Head|5763200||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1983|1983|Head|5795200||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1984|1984|Head|5830500||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1985|1985|Head|5860900||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1986|1986|Head|5813000||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1987|1987|Head|5670300||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1988|1988|Head|5632700||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1989|1989|Head|5698700||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1990|1990|Head|5969100||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1991|1991|Head|6100500||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1992|1992|Head|6147400||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1993|1993|Head|6236400||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1994|1994|Head|6263900||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1995|1995|Head|6343900||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1996|1996|Head|6450600||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1997|1997|Head|6660900||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1998|1998|Head|6881600||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|1999|1999|Head|6951700||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|2000|2000|Head|7037400||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|2001|2001|Head|7049700||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|2002|2002|Head|6992200||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|2003|2003|Head|6999500||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|2004|2004|Head|7015600||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|2005|2005|Head|6991800||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|2006|2006|Head|6977800||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|2007|2007|Head|6890900||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|2008|2008|Head|6902100||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|2009|2009|Head|6890700||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|2010|2010|Head|6606600||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|2011|2011|Head|6493000||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|2012|2012|Head|6754100||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|2013|2013|Head|6902600||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|2014|2014|Head|6926100||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|2015|2015|Head|6963500||Official data
QA|Live Animals|104|Ireland|5111|Stocks|866|Cattle|2016|2016|Head|7221200||Official data
QA|Live Animals|104|Ireland|5112|Stocks|1057|Chickens|1961|1961|1000 Head|7258||Official data
QA|Live Animals|104|Ireland|5112|Stocks|1057|Chickens|1962|1962|1000 Head|6954||Official data
QA|Live Animals|104|Ireland|5112|Stocks|1057|Chickens|1963|1963|1000 Head|7050||Official data
QA|Live Animals|104|Ireland|5112|Stocks|1057|Chickens|1964|1964|1000 Head|6902||Official data
QA|Live Animals|104|Ireland|5112|Stocks|1057|Chickens|1965|1965|1000 Head|8276||Official data
QA|Live Animals|104|Ireland|5112|Stocks|1057|Chickens|1966|1966|1000 Head|8246||Official data
QA|Live Animals|104|Ireland|5112|Stocks|1057|Chickens|1967|1967|1000 Head|7847||Official data
QA|Live Animals|104|Ireland|5112|Stocks|1057|Chickens|1968|1968|1000 Head|7960||Official data
QA|Live Animals|104|Ireland|5112|Stocks|1057|Chickens|1969|1969|1000 Head|7986||Official data
QA|Live Animals|104|Ireland|5112|Stocks|1057|Chickens|1970|1970|1000 Head|7887||Official data
QA|Live Animals|104|Ireland|5112|Stocks|1057|Chickens|1971|1971|1000 Head|8178||Official data
QA|Live Animals|104|Ireland|5112|Stocks|1057|Chickens|1972|1972|1000 Head|8500|F|FAO estimate
QA|Live Animals|104|Ireland|5112|Stocks|1057|Chickens|1973|1973|1000 Head|9144||Official data
QA|Live Animals|104|Ireland|5112|Stocks|1057|Chickens|1974|1974|1000 Head|9048||Official data
QA|Live Animals|104|Ireland|5112|Stocks|1057|Chickens|1975|1975|1000 Head|8107||Official data
QA|Live Animals|104|Ireland|5112|Stocks|1057|Chickens|1976|1976|1000 Head|8294||Official data
QA|Live Animals|104|Ireland|5112|Stocks|1057|Chickens|1977|1977|1000 Head|8345||Official data
QA|Live Animals|104|Ireland|5112|Stocks|1057|Chickens|1978|1978|1000 Head|8349||Official data
QA|Live Animals|104|Ireland|5112|Stocks|1057|Chickens|1979|1979|1000 Head|8434||Official data
QA|Live Animals|104|Ireland|5112|Stocks|1057|Chickens|1980|1980|1000 Head|8567||Official data
QA|Live Animals|104|Ireland|5112|Stocks|1057|Chickens|1981|1981|1000 Head|8166||Official data
QA|Live Animals|104|Ireland|5112|Stocks|1057|Chickens|1982|1982|1000 Head|8102||Official data
QA|Live Animals|104|Ireland|5112|Stocks|1057|Chickens|1983|1983|1000 Head|7970||Official data
QA|Live Animals|104|Ireland|5112|Stocks|1057|Chickens|1984|1984|1000 Head|7387||Official data
QA|Live Animals|104|Ireland|5112|Stocks|1057|Chickens|1985|1985|1000 Head|7425||Official data
